text,cleaned_text,tokens,priority
I love Python programming,love python programming,"['love', 'python', 'programming']",High
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
I love Python programming,love python programming,"['love', 'python', 'programming']",High
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
I love Python programming,love python programming,"['love', 'python', 'programming']",High
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
I love Python programming,love python programming,"['love', 'python', 'programming']",High
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
I love Python programming,love python programming,"['love', 'python', 'programming']",High
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
I love Python programming,love python programming,"['love', 'python', 'programming']",High
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
I love Python programming,love python programming,"['love', 'python', 'programming']",High
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
I love Python programming,love python programming,"['love', 'python', 'programming']",High
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
I love Python programming,love python programming,"['love', 'python', 'programming']",High
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
NLP is very useful,nlp useful,"['nlp', 'useful']",Medium
I love Python programming,love python programming,"['love', 'python', 'programming']",High
Python makes data analysis easy,python makes data analysis easy,"['python', 'makes', 'data', 'analysis', 'easy']",Low
