Task_ID,Task_Description,Priority,Status,Assignee,Created_Date,Deadline,Days_to_Deadline,Tokens
1,Write documentation - implement and test. Notes: low risk,Medium,Completed,Charlie,2025-09-18,2025-09-24,-31,"['write', 'documentation', 'implement', 'test', 'notes', 'low', 'risk']"
2,Write documentation - implement and test. Notes: bugfix,High,Completed,Emma,2025-10-15,2025-10-16,-9,"['write', 'documentation', 'implement', 'test', 'notes', 'bugfix']"
3,Optimize database queries - implement and test. Notes: bugfix,Low,In Progress,Emma,2025-09-04,2025-09-24,-31,"['optimize', 'database', 'queries', 'implement', 'test', 'notes', 'bugfix']"
4,Test payment flow - implement and test. Notes: low risk,Medium,In Progress,Bob,2025-08-29,2025-08-31,-55,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'low', 'risk']"
5,Test payment flow - implement and test. Notes: urgent,Medium,Pending,Bob,2025-10-21,2025-10-28,3,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'urgent']"
6,Test payment flow - implement and test. Notes: refactor,High,In Progress,Emma,2025-10-13,2025-10-20,-5,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'refactor']"
7,Optimize database queries - implement and test. Notes: low risk,Medium,Completed,Bob,2025-10-14,2025-10-30,5,"['optimize', 'database', 'queries', 'implement', 'test', 'notes', 'low', 'risk']"
8,Refactor legacy code - implement and test. Notes: bugfix,High,In Progress,Bob,2025-09-15,2025-10-09,-16,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'bugfix']"
9,Optimize database queries - implement and test. Notes: refactor,Low,Completed,Bob,2025-09-26,2025-10-24,-1,"['optimize', 'database', 'queries', 'implement', 'test', 'notes', 'refactor']"
10,Fix login bug - implement and test. Notes: refactor,Medium,Completed,Emma,2025-08-25,2025-09-09,-46,"['fix', 'login', 'bug', 'implement', 'test', 'notes', 'refactor']"
11,Update API endpoint - implement and test. Notes: urgent,Low,Completed,David,2025-10-08,2025-11-01,7,"['update', 'api', 'endpoint', 'implement', 'test', 'notes', 'urgent']"
12,Test payment flow - implement and test. Notes: enhancement,Medium,Pending,David,2025-08-25,2025-09-13,-42,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'enhancement']"
13,Research new feature - implement and test. Notes: bugfix,Low,In Progress,David,2025-10-05,2025-10-24,-1,"['research', 'new', 'feature', 'implement', 'test', 'notes', 'bugfix']"
14,Update API endpoint - implement and test. Notes: urgent,Low,In Progress,Alice,2025-10-11,2025-10-24,-1,"['update', 'api', 'endpoint', 'implement', 'test', 'notes', 'urgent']"
15,Set up CI/CD pipeline - implement and test. Notes: enhancement,Low,In Progress,Alice,2025-10-07,2025-10-23,-2,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'enhancement']"
16,Optimize database queries - implement and test. Notes: bugfix,High,Pending,Bob,2025-10-17,2025-10-28,3,"['optimize', 'database', 'queries', 'implement', 'test', 'notes', 'bugfix']"
17,Set up CI/CD pipeline - implement and test. Notes: urgent,Medium,Pending,David,2025-10-10,2025-11-06,12,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'urgent']"
18,Research new feature - implement and test. Notes: low risk,Medium,In Progress,Bob,2025-10-01,2025-10-06,-19,"['research', 'new', 'feature', 'implement', 'test', 'notes', 'low', 'risk']"
19,Update API endpoint - implement and test. Notes: enhancement,Low,Completed,Bob,2025-09-19,2025-10-11,-14,"['update', 'api', 'endpoint', 'implement', 'test', 'notes', 'enhancement']"
20,Refactor legacy code - implement and test. Notes: bugfix,Low,In Progress,Alice,2025-10-08,2025-11-07,13,"['refactor', 'legacy', 'code', 'implement', 'test', 'notes', 'bugfix']"
21,Write documentation - implement and test. Notes: refactor,Low,In Progress,Emma,2025-10-16,2025-11-08,14,"['write', 'documentation', 'implement', 'test', 'notes', 'refactor']"
22,Design dashboard UI - implement and test. Notes: enhancement,Medium,In Progress,Charlie,2025-09-27,2025-10-07,-18,"['design', 'dashboard', 'ui', 'implement', 'test', 'notes', 'enhancement']"
23,Test payment flow - implement and test. Notes: bugfix,Medium,Completed,Alice,2025-10-22,2025-10-25,0,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'bugfix']"
24,Set up CI/CD pipeline - implement and test. Notes: urgent,Medium,Completed,Bob,2025-09-13,2025-10-04,-21,"['set', 'ci', 'cd', 'pipeline', 'implement', 'test', 'notes', 'urgent']"
25,Design dashboard UI - implement and test. Notes: low risk,Medium,Pending,Charlie,2025-09-11,2025-09-20,-35,"['design', 'dashboard', 'ui', 'implement', 'test', 'notes', 'low', 'risk']"
26,Test payment flow - implement and test. Notes: refactor,High,Completed,Bob,2025-10-17,2025-11-12,18,"['test', 'payment', 'flow', 'implement', 'test', 'notes', 'refactor']"
