Task_ID,Task_Description,Priority,Status,Assignee,Created_Date,Deadline
1,Write documentation - implement and test. Notes: low risk,Medium,Completed,Charlie,2025-09-18,2025-09-24
2,Write documentation - implement and test. Notes: bugfix,High,Completed,Emma,2025-10-15,2025-10-16
3,Optimize database queries - implement and test. Notes: bugfix,Low,In Progress,Emma,2025-09-04,2025-09-24
4,Test payment flow - implement and test. Notes: low risk,Medium,In Progress,Bob,2025-08-29,2025-08-31
5,Test payment flow - implement and test. Notes: urgent,Medium,Pending,Bob,2025-10-21,2025-10-28
6,Test payment flow - implement and test. Notes: refactor,High,In Progress,Emma,2025-10-13,2025-10-20
7,Optimize database queries - implement and test. Notes: low risk,Medium,Completed,Bob,2025-10-14,2025-10-30
8,Refactor legacy code - implement and test. Notes: bugfix,High,In Progress,Bob,2025-09-15,2025-10-09
9,Optimize database queries - implement and test. Notes: refactor,Low,Completed,Bob,2025-09-26,2025-10-24
10,Fix login bug - implement and test. Notes: refactor,Medium,Completed,Emma,2025-08-25,2025-09-09
11,Update API endpoint - implement and test. Notes: urgent,Low,Completed,David,2025-10-08,2025-11-01
12,Test payment flow - implement and test. Notes: enhancement,Medium,Pending,David,2025-08-25,2025-09-13
13,Research new feature - implement and test. Notes: bugfix,Low,In Progress,David,2025-10-05,2025-10-24
14,Update API endpoint - implement and test. Notes: urgent,Low,In Progress,Alice,2025-10-11,2025-10-24
15,Set up CI/CD pipeline - implement and test. Notes: enhancement,Low,In Progress,Alice,2025-10-07,2025-10-23
16,Optimize database queries - implement and test. Notes: bugfix,High,Pending,Bob,2025-10-17,2025-10-28
17,Set up CI/CD pipeline - implement and test. Notes: urgent,Medium,Pending,David,2025-10-10,2025-11-06
18,Research new feature - implement and test. Notes: low risk,Medium,In Progress,Bob,2025-10-01,2025-10-06
19,Update API endpoint - implement and test. Notes: enhancement,Low,Completed,Bob,2025-09-19,2025-10-11
20,Refactor legacy code - implement and test. Notes: bugfix,Low,In Progress,Alice,2025-10-08,2025-11-07
21,Write documentation - implement and test. Notes: refactor,Low,In Progress,Emma,2025-10-16,2025-11-08
22,Design dashboard UI - implement and test. Notes: enhancement,Medium,In Progress,Charlie,2025-09-27,2025-10-07
23,Test payment flow - implement and test. Notes: bugfix,Medium,Completed,Alice,2025-10-22,2025-10-25
24,Set up CI/CD pipeline - implement and test. Notes: urgent,Medium,Completed,Bob,2025-09-13,2025-10-04
25,Design dashboard UI - implement and test. Notes: low risk,Medium,Pending,Charlie,2025-09-11,2025-09-20
26,Test payment flow - implement and test. Notes: refactor,High,Completed,Bob,2025-10-17,2025-11-12
27,Set up CI/CD pipeline - implement and test. Notes: urgent,Low,In Progress,Charlie,2025-09-22,2025-09-30
28,Optimize database queries - implement and test. Notes: urgent,Medium,In Progress,David,2025-09-02,2025-09-29
29,Design dashboard UI - implement and test. Notes: refactor,Low,Completed,David,2025-10-18,2025-10-22
30,Test payment flow - implement and test. Notes: urgent,Medium,In Progress,Charlie,2025-10-02,2025-10-28
31,Write documentation - implement and test. Notes: urgent,Low,In Progress,Charlie,2025-08-28,2025-09-06
32,Update API endpoint - implement and test. Notes: low risk,High,In Progress,David,2025-09-11,2025-09-25
33,Set up CI/CD pipeline - implement and test. Notes: bugfix,High,Completed,Bob,2025-10-17,2025-10-18
34,Design dashboard UI - implement and test. Notes: refactor,Medium,Pending,Emma,2025-10-03,2025-10-29
35,Update API endpoint - implement and test. Notes: enhancement,Medium,In Progress,Bob,2025-10-12,2025-11-10
36,Test payment flow - implement and test. Notes: bugfix,Low,Completed,David,2025-10-06,2025-10-24
